gmag  g-r   r-i   rh[pc]            
19.05  0.80  0.48  _            
19.12  0.23  0.23  _            
18.01  0.17  0.10  _            
17.65  0.38  0.17  _            
16.31  0.23  0.15  _            
16.86  0.01  0.03  _            
17.47  0.12  0.15  _            
17.64  0.17  0.10  _            
17.52  0.00 -0.03  _            
17.64  0.27  0.12  _            
17.07  0.52  0.28  _            
16.53  0.11  0.10  _            
17.88  0.05 -0.03  _            
18.50  0.61  0.43  _            
18.20  0.31  0.17  _            
18.00 -0.15 -0.07  _            
17.79  0.32  0.09  _            
18.40  0.39  0.12  _            
18.14  0.26  0.13  _            
17.04  0.21  0.11  _            
17.07  0.47  0.21  _            
17.71  0.22  0.27  _            
18.04  0.27  0.11  _            
18.46  0.05  0.05  _            
17.82  0.43  0.18  _            
17.79  0.10  0.11  _            
18.25 -0.53 -0.26  _            
17.99  0.29  0.20  _            
17.41  0.30  0.28  _            
18.20  0.12 -0.05  _            
18.17  0.16  0.12  _            
18.44  0.20  0.29  _            
18.50  0.38  0.23  _            
19.27  0.61  0.44  _            
15.70 -0.13  0.00  _            
20.03  0.58  0.23  _            
19.37  0.47  0.23  _            
18.22 -0.01  0.04  _            
18.60  0.61  0.23  _            
19.21  0.29  0.20  _            
17.32  0.00 -0.55  _            
19.33  0.36  0.24  _            
18.85  0.41  0.30  _            
17.40  0.10  0.22  _            
17.54  0.48  0.34  _            
18.46  0.07 -0.13  _            
19.89 -0.01  0.25  _            
19.71  0.34  0.36  _            
20.00  0.47  0.36  _            
20.56  0.18  0.33  _            
20.13  0.26  0.16  _            
20.25  0.74  0.36  _            
18.16  0.06  0.03  _            
20.20  0.81  0.61  _            
19.75  0.17  0.23  _            
18.88  0.13  0.16  _            
19.22  0.11  0.09  _            
19.17  0.92  0.48  _            
18.94  0.27  0.17  _            
18.12 -0.18  0.00  _            
19.25  0.20  0.41  _            
18.60  0.38  0.37  _            
19.76  0.23 -0.08  _            
19.58  0.20  0.07  _            
18.59 -0.13  0.09  _            
18.55  0.18  0.03  _            
18.92  0.03  0.12  _            
19.09  0.36  0.38  _            
19.02  0.18  0.12  _            
19.56  0.54  0.83  _            
18.85  0.20  0.00  _            
19.96  0.38  0.31  _            
19.22  0.83  0.54  _            
18.61  0.33  0.28  _            
20.32  0.93  0.69  _            
19.09  0.51  0.34  _            
20.19  0.44  0.54  _            
19.18 -0.36  0.28  _            
19.65  0.39  0.51  _            
18.57  0.12  0.09  _            
20.09  0.36  0.28  _            
20.32  0.08  0.46  _            
19.45  0.26 -0.16  _            
18.94  0.09  0.18  _            
