#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       22.18      0.0173       1.833           0
       24.64      0.0289       3.427       1.687
       23.08      0.0183        3.13      0.2699
       25.54      0.0478       3.764        1.69
       24.23      0.0255       2.945      0.5856
        21.5      0.0173       2.551           0
       22.57      0.0169           -1           -1
       23.97      0.0225       1.934      0.4263
       24.24      0.0242       1.765      0.9258
        22.9      0.0226      0.5218      0.3806
       25.69      0.0552       3.593       3.678
       24.64      0.0284           -1           -1
       25.76      0.0589           -1           -1
       21.44      0.0177       1.939           0
       21.41      0.0169       2.638           0
       22.75      0.0182        1.91       0.221
       23.53      0.0204       2.108      0.4243
       22.97      0.0197       1.497      0.2131
       23.33      0.0192       2.042      0.2396
       21.91      0.0165       2.541           0
       22.84      0.0185       2.117      0.2007
       25.15      0.0415       2.518       1.272
       23.71      0.0209       2.404      0.3928
       21.78      0.0187           -1           -1
       24.67      0.0311       1.979           0
       25.23      0.0375           -1           -1
        23.5      0.0207       2.577       0.699
       25.25      0.0402       1.916      0.9859
       22.26      0.0181       1.882           0
       23.12      0.0193        1.96      0.2007
       22.05      0.0174        1.59           0
       23.74      0.0224      0.7742      0.3338
       23.72      0.0225       1.707      0.3207
       20.89      0.0215           -1           -1
       24.05      0.0245       1.537      0.3389
       21.27      0.0187           -1           -1
       20.93      0.0174           -1           -1
        22.3      0.0203        9.41       5.841
       23.34      0.0196       2.924      0.3098
       23.92      0.0229       2.457      0.3703
       23.51      0.0207       2.369      0.2715
        22.9      0.0185           -1           -1
       24.82       0.034       2.513       1.031
       25.42      0.0432           0           0
       23.41       0.019       2.953      0.2324
       21.82      0.0194      0.6097           0
       22.36      0.0168       3.363      0.2131
       23.75      0.0214       2.338       0.318
       24.15      0.0268      0.8258      0.5351
       23.63      0.0197       2.919      0.3402
       24.88      0.0386       2.257       1.533
       24.02      0.0248       2.303      0.4684
       21.64      0.0161       3.316           0
       22.94      0.0189       0.438   1.993e+11
       23.96      0.0222       2.743      0.4303
