				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs							mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err								flag
54_716883_36_301271              54.716789              -36.301054           03 38 52.03     -36 18 03.8                    20.69              0.03           10.49              0.42              1.65              0.07              0.76              0.02       37.38           2.84                    old                                                          
54_726073_35_986390              54.725820              -35.986665           03 38 54.20     -35 59 12.0                    21.30              0.00           15.26              0.58              1.36              0.08              0.76              0.03       39.48           6.03                    new                                                          
54_729106_35_237086              54.729368              -35.237000           03 38 55.05     -35 14 13.2                    18.43              0.00           28.89              0.20              0.84              0.01              0.69              0.00       48.55           0.55                    old                                                          
54_740342_35_184769              54.739897              -35.184658           03 38 57.58     -35 11 04.8                    19.09              0.01           29.52              0.39              0.72              0.01              0.96              0.01       30.69           9.94                    old                                                          
54_745879_35_740786              54.745801              -35.741138           03 38 58.99     -35 44 28.1                    20.24              0.02           10.04              0.23              1.34              0.03              0.93              0.01      -59.67           8.10                    old                                                          
54_753410_36_338243              54.753401              -36.338584           03 39 00.82     -36 20 18.9                    18.95              0.01           22.14              0.27              0.94              0.03              0.59              0.01      -37.83           0.61                    old                                                          
54_779224_35_122908              54.779490              -35.122876           03 39 07.08     -35 07 22.4                    20.39              0.01           13.66              0.25              0.84              0.02              0.63              0.01      -84.35           1.21                    old                                                          
54_816794_35_005674              54.816614              -35.005877           03 39 15.99     -35 00 21.2                    21.53              0.00           10.35              0.31              0.73              0.06              0.71              0.03      -74.09           4.04                    new                                                          
54_821872_35_778770              54.822072              -35.779284           03 39 17.30     -35 46 45.4                    22.20              0.02            6.17              0.19              0.38              0.06              0.58              0.02       87.18           2.49                    old                                                          
54_843603_35_589896              54.843638              -35.590022           03 39 22.47     -35 35 24.1                    19.33              0.01           10.50              0.08              1.08              0.01              0.96              0.00       23.76           5.72                    old                                                          
54_870302_35_572444              54.870451              -35.572583           03 39 28.91     -35 34 21.3                    19.92              0.02           31.88              0.89              0.70              0.03              0.87              0.02      -20.85           6.68                    old                                                          
54_884701_36_099635              54.884181              -36.099673           03 39 32.20     -36 05 58.8                    20.06              0.01           21.10              0.41              0.65              0.02              0.89              0.01       64.15           6.22                    old                                                          
54_923278_35_531898              54.923359              -35.531899           03 39 41.61     -35 31 54.8                    19.89              0.00           20.93              0.33              0.99              0.03              0.76              0.01      -66.01           2.51                    new                                                          
54_924511_35_468637              54.924988              -35.468362           03 39 42.00     -35 28 06.1                    20.87              0.06           28.24              2.45              1.32              0.10              0.89              0.04       89.18          17.43                    old                                                          
54_942374_36_191563              54.942303              -36.191657           03 39 46.15     -36 11 30.0                    21.62              0.00            5.18              0.18              1.51              0.12              0.76              0.03      -80.98           6.00                    new                                                          
54_950673_36_186131              54.950765              -36.186495           03 39 48.18     -36 11 11.4                    20.10              0.00           22.04              0.52              1.87              0.06              0.61              0.01      -12.07           1.93                    new                                                          
54_950837_34_773710              54.950856              -34.773438           03 39 48.21     -34 46 24.4                    21.57              0.00            5.74              0.17              1.27              0.09              0.90              0.03      -54.77          12.66                    new                                                          
54_959116_35_023323              54.959189              -35.023227           03 39 50.21     -35 01 23.6                    17.42              0.00           76.92              0.46              0.57              0.01              0.77              0.00      -23.90           0.82                    old                                                          
54_963258_36_012110              54.963183              -36.012438           03 39 51.16     -36 00 44.8                    21.23              0.00           13.88              0.48              0.77              0.06              0.81              0.04       49.64           7.31                    new                                                          
54_964300_35_322490              54.964090              -35.322073           03 39 51.38     -35 19 19.5                    18.31              0.00           35.11              0.18              0.73              0.01              0.85              0.01      -15.79           1.43                    new                                                          
54_968992_36_141662              54.969000              -36.141946           03 39 52.56     -36 08 31.0                    20.95              0.02           14.36              0.36              0.70              0.03              0.53              0.01       81.47           1.29                    old                                                          
54_977017_34_696208              54.977090              -34.696146           03 39 54.50     -34 41 46.1                    19.52              0.01           14.87              0.16              0.71              0.01              0.84              0.01       62.46           2.23                    old                                                          
55_001372_36_093632              55.001275              -36.093656           03 40 00.31     -36 05 37.2                    19.98              0.02           30.29              0.95              1.20              0.04              0.55              0.01      -32.31           1.23                    old                                                          
55_007334_35_491729              55.007240              -35.491627           03 40 01.74     -35 29 29.9                    22.80              0.00            5.21              0.26              0.48              0.11              0.70              0.05      -85.54           7.04                    new                                                          
55_012880_35_488859              55.013060              -35.488945           03 40 03.13     -35 29 20.2                    21.77              0.03            4.97              0.23              1.31              0.09              0.84              0.03       25.49           7.56                    old                                                          
55_012927_35_465776              55.012990              -35.465073           03 40 03.12     -35 27 54.3                    19.94              0.02           36.64              0.88              0.49              0.02              0.82              0.02      -75.45           4.59                    old                                                          
55_013045_36_361481              55.013096              -36.361876           03 40 03.14     -36 21 42.8                    23.55              0.00            4.44              0.67              1.40              0.56              0.66              0.15       70.40          21.50                    new                                                          
55_018537_35_072778              55.018715              -35.072696           03 40 04.49     -35 04 21.7                    21.19              0.00            8.66              0.22              0.98              0.05              0.88              0.03       77.42           8.62                    new                                                          
55_020824_34_652231              55.021332              -34.652052           03 40 05.12     -34 39 07.4                    20.14              0.01           17.12              0.24              0.66              0.02              0.60              0.01       36.70           0.96                    old                                                          
55_025435_36_233845              55.025400              -36.233800           03 40 06.10     -36 14 01.7                    18.26              0.01           60.97              0.77              1.30              0.01              0.40              0.00       26.55           0.28                    old                                                          
55_028498_34_598234              55.028801              -34.598362           03 40 06.91     -34 35 54.1                    20.94              0.00            6.29              0.10              1.08              0.04              0.87              0.02      -86.01           5.36                    new                                                          
55_051650_35_289438              55.052046              -35.288779           03 40 12.49     -35 17 19.6                    20.89              0.02           21.55              0.57              0.47              0.03              0.60              0.01       20.03           1.95                    old                                                          
55_060339_36_268759              55.060488              -36.269022           03 40 14.52     -36 16 08.5                    21.73              0.00            6.17              0.16              1.06              0.07              0.67              0.02      -48.49           3.12                    new                                                          
55_075443_36_058640              55.075265              -36.058877           03 40 18.06     -36 03 32.0                    21.80              0.00           15.15              0.00              0.65              0.09              0.69              0.04       27.76           0.00                    new                                                          
55_077814_35_130239              55.077401              -35.137506           03 40 18.58     -35 08 15.0                    20.18              0.02           28.27              0.82              0.68              0.03              0.84              0.02      -12.55           5.58                    old                                                          
55_077823_34_542607              55.078331              -34.542452           03 40 18.80     -34 32 32.8                    20.31              0.08            9.61              1.09              0.86              0.16              0.89              0.07       -0.12          29.61                    old                                                          
55_109358_35_003593              55.109478              -35.003499           03 40 26.27     -35 00 12.6                    20.01              0.00           23.02              0.37              0.84              0.03              0.56              0.01       58.38           1.19                    new                                                          
55_111349_35_420001              55.111179              -35.419999           03 40 26.68     -35 25 12.0                    19.95              0.02           20.73              0.47              0.80              0.03              0.87              0.01      -69.96           5.05                    old                                                          
55_118091_34_786489              55.118089              -34.786073           03 40 28.34     -34 47 09.9                    21.62              0.03           13.04              0.37              0.22              0.03              0.84              0.03       40.39           7.29                    old                                                          
55_140321_35_888154              55.140092              -35.888292           03 40 33.62     -35 53 17.9                    20.27              0.00           20.84              0.40              0.71              0.03              0.67              0.02      -75.76           2.18                    new                                                          
